R,V,S,E,P,H,landslide
0.465,0.895,0.725,0.419,0.83,0.414,0
0.283,0.397,0.611,0.323,0.057,0.418,1
0.813,0.365,0.632,0.385,0.763,0.588,1
0.92,0.212,0.859,0.388,0.7,0.062,1
0.912,0.718,0.21,0.316,0.509,0.831,1
0.229,0.251,0.571,0.767,0.603,0.496,0
0.591,0.427,0.956,0.619,0.199,0.486,1
0.899,0.794,0.35,0.669,0.382,0.288,1
0.367,0.717,0.885,0.49,0.313,0.816,1
0.676,0.322,0.888,0.391,0.681,0.526,0
0.252,0.142,0.686,0.143,0.574,0.81,1
0.598,0.458,0.651,0.793,0.155,0.712,1
0.437,0.77,0.374,0.449,0.472,0.308,0
0.474,0.324,0.449,0.547,0.465,0.724,1
0.636,0.537,0.649,0.773,0.959,0.92,0
0.502,0.261,0.672,0.581,0.29,0.806,1
0.702,0.137,0.579,0.484,0.016,0.351,1
0.585,0.479,0.674,0.514,0.295,0.101,0
0.118,0.938,0.688,0.296,0.614,0.509,0
0.556,0.184,0.595,0.585,0.677,0.104,1
0.686,0.814,0.143,0.433,0.54,0.185,1
0.688,0.57,0.422,0.384,0.896,0.866,1
0.685,0.54,0.781,0.136,0.789,0.646,1
0.647,0.284,0.28,0.643,0.239,0.757,1
0.363,0.613,0.525,0.845,0.509,0.418,1
0.488,0.675,0.655,0.454,0.763,0.737,1
0.39,0.189,0.644,0.541,0.434,0.472,1
0.674,0.423,0.746,0.452,0.457,0.146,1
0.554,0.541,0.469,0.319,0.557,0.231,1
0.723,0.395,0.818,0.405,0.299,0.817,1
0.406,0.677,0.76,0.302,0.49,0.552,0
0.54,0.344,0.181,0.857,0.202,0.396,0
0.415,0.793,0.713,0.583,0.05,0.823,1
0.88,0.413,0.585,0.91,0.494,0.198,1
0.886,0.612,0.734,0.537,0.334,0.566,1
0.125,0.643,0.4,0.56,0.374,0.113,1
0.283,0.242,0.651,0.287,0.64,0.146,1
0.24,0.903,0.603,0.43,0.314,0.495,0
0.082,0.308,0.216,0.473,0.416,0.436,0
0.766,0.469,0.43,0.439,0.278,0.611,1
0.729,0.166,0.653,0.5,0.971,0.622,1
0.696,0.226,0.672,0.516,0.603,0.413,1
0.6,0.587,0.692,0.358,0.306,0.614,1
0.588,0.65,0.524,0.418,0.402,0.54,0
0.868,0.357,0.964,0.817,0.38,0.795,1
0.461,0.085,0.65,0.566,0.662,0.193,0
0.233,0.275,0.559,0.75,0.369,0.686,0
0.659,0.381,0.517,0.862,0.106,0.35,1
0.546,0.78,0.387,0.279,0.646,0.48,1
0.168,0.293,0.697,0.684,0.433,0.453,0
0.367,0.71,0.937,0.726,0.192,0.445,1
0.603,0.323,0.311,0.577,0.391,0.165,0
0.904,0.788,0.513,0.535,0.586,0.263,1
0.416,0.391,0.921,0.253,0.768,0.498,1
0.313,0.586,0.698,0.483,0.146,0.708,0
0.751,0.791,0.8,0.601,0.79,0.508,1
0.354,0.266,0.696,0.462,0.273,0.811,1
0.103,0.449,0.564,0.803,0.148,0.684,1
0.651,0.644,0.86,0.548,0.548,0.514,0
0.562,0.357,0.769,0.335,0.16,0.507,1
0.566,0.893,0.797,0.352,0.13,0.239,0
0.732,0.634,0.216,0.701,0.099,0.822,0
0.62,0.873,0.128,0.282,0.204,0.8,1
0.582,0.52,0.785,0.442,0.3,0.499,0
0.451,0.201,0.697,0.18,0.536,0.56,0
0.305,0.576,0.861,0.084,0.495,0.876,1
0.112,0.219,0.291,0.357,0.348,0.703,0
0.636,0.608,0.32,0.303,0.744,0.406,0
0.545,0.518,0.501,0.439,0.046,0.514,1
0.311,0.474,0.732,0.261,0.502,0.007,1
0.148,0.584,0.558,0.558,0.73,0.101,1
0.463,0.746,0.372,0.789,0.392,0.319,0
0.682,0.547,0.207,0.186,0.468,0.545,0
0.648,0.016,0.694,0.17,0.765,0.186,1
0.265,0.253,0.579,0.467,0.563,0.789,1
0.388,0.272,0.375,0.286,0.355,0.469,1
0.274,0.074,0.556,0.792,0.553,0.27,1
0.158,0.491,0.783,0.59,0.684,0.599,0
0.895,0.445,0.862,0.237,0.47,0.257,1
0.357,0.348,0.95,0.768,0.512,0.023,1
0.764,0.615,0.535,0.249,0.179,0.554,0
0.362,0.225,0.674,0.608,0.72,0.477,0
0.641,0.659,0.959,0.451,0.49,0.309,1
0.686,0.784,0.098,0.545,0.209,0.43,1
0.547,0.321,0.881,0.815,0.362,0.222,1
0.643,0.83,0.446,0.346,0.738,0.185,1
0.654,0.615,0.969,0.691,0.642,0.546,1
0.705,0.475,0.314,0.225,0.665,0.674,0
0.208,0.515,0.767,0.167,0.902,0.914,1
0.256,0.595,0.809,0.881,0.626,0.883,1
0.958,0.791,0.533,0.825,0.859,0.263,1
0.098,0.235,0.733,0.303,0.327,0.21,0
0.283,0.64,0.726,0.191,0.743,0.565,1
0.59,0.733,0.468,0.704,0.482,0.881,0
0.611,0.271,0.707,0.834,0.495,0.405,0
0.757,0.469,0.492,0.467,0.131,0.416,1
0.659,0.779,0.527,0.465,0.799,0.52,1
0.794,0.043,0.504,0.685,0.281,0.518,1
0.293,0.69,0.675,0.718,0.71,0.466,1
0.056,0.345,0.57,0.559,0.781,0.59,1
0.775,0.586,0.099,0.241,0.371,0.406,0
0.394,0.714,0.953,0.245,0.085,0.762,0
0.263,0.537,0.273,0.531,0.884,0.421,0
0.811,0.311,0.602,0.69,0.407,0.783,1
0.313,0.334,0.512,0.788,0.7,0.52,1
0.331,0.497,0.223,0.332,0.25,0.258,1
0.556,0.463,0.847,0.712,0.509,0.851,0
0.682,0.098,0.213,0.787,0.565,0.321,1
0.501,0.36,0.409,0.487,0.435,0.193,1
0.78,0.551,0.387,0.49,0.698,0.899,1
0.229,0.679,0.142,0.541,0.49,0.729,0
0.727,0.291,0.692,0.221,0.454,0.137,1
0.815,0.415,0.648,0.278,0.232,0.354,1
0.566,0.632,0.9,0.507,0.322,0.405,1
0.605,0.744,0.813,0.307,0.548,0.666,1
0.234,0.245,0.516,0.228,0.68,0.684,0
0.958,0.73,0.331,0.36,0.564,0.277,1
0.336,0.634,0.43,0.525,0.771,0.358,1
0.45,0.655,0.313,0.012,0.673,0.217,1
0.824,0.17,0.517,0.418,0.344,0.427,1
0.311,0.026,0.96,0.401,0.262,0.487,1
0.528,0.118,0.565,0.206,0.805,0.112,1
0.254,0.432,0.587,0.622,0.646,0.372,0
0.663,0.149,0.591,0.796,0.839,0.407,1
0.804,0.242,0.712,0.808,0.193,0.776,1
0.24,0.952,0.259,0.476,0.609,0.532,0
0.122,0.107,0.693,0.366,0.376,0.213,1
0.032,0.557,0.554,0.771,0.843,0.718,1
0.321,0.25,0.888,0.321,0.911,0.409,1
0.493,0.48,0.267,0.532,0.137,0.329,1
0.878,0.468,0.959,0.177,0.328,0.723,0
0.568,0.496,0.696,0.728,0.331,0.178,1
0.555,0.683,0.589,0.514,0.843,0.694,1
0.735,0.223,0.416,0.462,0.842,0.384,1
0.589,0.697,0.607,0.401,0.179,0.368,0
0.381,0.082,0.765,0.31,0.82,0.341,1
0.325,0.196,0.701,0.075,0.465,0.293,1
0.731,0.631,0.897,0.522,0.329,0.379,1
0.698,0.456,0.803,0.512,0.427,0.943,1
0.169,0.799,0.773,0.131,0.146,0.484,0
0.555,0.077,0.495,0.356,0.645,0.453,0
0.36,0.488,0.844,0.46,0.629,0.815,0
0.799,0.585,0.589,0.813,0.782,0.711,1
0.239,0.099,0.774,0.624,0.552,0.666,1
0.726,0.541,0.759,0.341,0.492,0.438,0
0.881,0.145,0.592,0.653,0.598,0.285,1
0.377,0.161,0.706,0.827,0.575,0.098,1
0.461,0.627,0.639,0.456,0.922,0.635,1
0.562,0.814,0.689,0.291,0.426,0.525,1
0.54,0.556,0.624,0.191,0.594,0.755,0
0.154,0.191,0.685,0.336,0.21,0.448,1
0.374,0.359,0.718,0.948,0.241,0.684,0
0.746,0.341,0.901,0.493,0.476,0.086,1
0.473,0.214,0.768,0.32,0.38,0.439,0
0.836,0.5,0.485,0.721,0.265,0.348,0
0.691,0.312,0.34,0.382,0.738,0.37,1
0.396,0.476,0.681,0.685,0.199,0.68,1
0.339,0.735,0.833,0.547,0.538,0.71,1
0.204,0.574,0.852,0.511,0.367,0.418,0
0.21,0.119,0.383,0.194,0.285,0.337,0
0.471,0.463,0.813,0.894,0.167,0.615,0
0.441,0.579,0.43,0.35,0.319,0.198,1
0.449,0.214,0.949,0.822,0.728,0.308,1
0.701,0.105,0.598,0.587,0.613,0.635,1
0.539,0.397,0.515,0.663,0.479,0.6,1
0.711,0.885,0.581,0.825,0.361,0.568,1
0.524,0.735,0.165,0.562,0.787,0.874,0
0.467,0.728,0.469,0.706,0.654,0.211,1
0.496,0.295,0.827,0.369,0.754,0.499,1
0.365,0.438,0.649,0.605,0.435,0.363,1
0.84,0.483,0.783,0.676,0.694,0.652,1
0.371,0.373,0.963,0.681,0.325,0.316,0
0.596,0.178,0.655,0.825,0.155,0.207,0
0.339,0.938,0.673,0.745,0.259,0.525,0
0.828,0.15,0.619,0.721,0.09,0.712,0
0.208,0.902,0.448,0.626,0.51,0.785,0
0.283,0.449,0.556,0.858,0.589,0.548,0
0.678,0.47,0.583,0.293,0.504,0.239,1
0.545,0.876,0.66,0.457,0.504,0.204,1
0.367,0.381,0.525,0.417,0.092,0.429,1
0.645,0.76,0.688,0.285,0.632,0.435,1
0.46,0.587,0.404,0.956,0.229,0.448,1
0.386,0.597,0.538,0.526,0.422,0.268,0
0.395,0.228,0.581,0.494,0.213,0.693,0
0.758,0.248,0.776,0.218,0.335,0.477,1
0.643,0.731,0.362,0.234,0.085,0.243,0
0.624,0.364,0.582,0.839,0.619,0.857,1
0.511,0.46,0.828,0.48,0.559,0.657,1
0.467,0.209,0.174,0.855,0.358,0.639,1
0.323,0.38,0.881,0.457,0.456,0.704,0
0.795,0.258,0.747,0.551,0.564,0.834,1
0.194,0.756,0.849,0.429,0.23,0.042,0
0.14,0.652,0.53,0.618,0.363,0.507,0
0.633,0.455,0.559,0.446,0.431,0.777,1
0.402,0.846,0.359,0.57,0.487,0.453,1
0.807,0.36,0.423,0.886,0.605,0.417,0
0.667,0.404,0.639,0.842,0.381,0.501,1
0.469,0.866,0.544,0.158,0.451,0.58,1
0.676,0.743,0.493,0.621,0.708,0.737,0
0.747,0.485,0.511,0.291,0.535,0.577,1
0.74,0.295,0.175,0.627,0.675,0.59,1
0.447,0.388,0.632,0.808,0.401,0.325,1
0.163,0.371,0.74,0.364,0.417,0.356,1
0.029,0.237,0.552,0.099,0.772,0.383,1
0.764,0.652,0.889,0.61,0.767,0.192,1
0.491,0.915,0.471,0.241,0.714,0.302,1
0.291,0.783,0.397,0.321,0.685,0.654,1
0.554,0.399,0.544,0.712,0.69,0.538,1
0.579,0.736,0.686,0.619,0.709,0.338,1
0.563,0.598,0.698,0.522,0.778,0.14,1
0.375,0.414,0.778,0.212,0.633,0.84,1
0.645,0.607,0.668,0.452,0.627,0.144,1
0.236,0.517,0.786,0.457,0.482,0.742,1
0.396,0.084,0.54,0.549,0.066,0.601,0
0.277,0.948,0.937,0.307,0.614,0.494,0
0.669,0.413,0.576,0.222,0.349,0.433,1
0.314,0.484,0.97,0.783,0.833,0.398,1
0.17,0.633,0.489,0.402,0.8,0.559,1
0.572,0.721,0.852,0.673,0.702,0.56,1
0.574,0.465,0.443,0.152,0.472,0.758,1
0.216,0.541,0.74,0.146,0.571,0.61,0
0.701,0.415,0.713,0.755,0.592,0.833,1
0.495,0.359,0.562,0.656,0.62,0.71,1
0.378,0.725,0.779,0.559,0.587,0.477,1
0.073,0.339,0.444,0.31,0.256,0.558,0
0.635,0.733,0.604,0.827,0.364,0.434,1
0.554,0.413,0.892,0.719,0.558,0.143,1
0.562,0.203,0.149,0.289,0.485,0.358,0
0.675,0.074,0.492,0.885,0.474,0.732,0
0.118,0.285,0.862,0.152,0.527,0.478,1
0.405,0.548,0.625,0.443,0.825,0.254,1
0.78,0.158,0.586,0.459,0.414,0.461,1
0.233,0.519,0.857,0.45,0.368,0.668,0
0.5,0.716,0.348,0.272,0.906,0.346,0
0.175,0.609,0.892,0.548,0.555,0.871,1
0.629,0.351,0.621,0.119,0.402,0.225,1
0.493,0.924,0.607,0.336,0.5,0.611,1
0.642,0.467,0.451,0.6,0.509,0.502,0
0.594,0.796,0.99,0.516,0.135,0.602,0
0.803,0.794,0.947,0.338,0.414,0.626,1
0.845,0.622,0.873,0.828,0.763,0.542,1
0.15,0.255,0.309,0.575,0.751,0.432,1
0.561,0.421,0.878,0.418,0.164,0.236,1
0.817,0.634,0.627,0.62,0.801,0.644,1
0.488,0.521,0.548,0.493,0.758,0.247,0
0.892,0.361,0.56,0.076,0.389,0.233,1
0.427,0.538,0.387,0.609,0.334,0.234,1
0.671,0.214,0.903,0.577,0.802,0.672,1
0.875,0.503,0.806,0.808,0.39,0.391,0
0.24,0.445,0.554,0.189,0.277,0.771,0
0.463,0.823,0.296,0.798,0.369,0.617,0
0.855,0.813,0.498,0.79,0.161,0.441,1
0.671,0.76,0.271,0.719,0.363,0.618,1
0.59,0.518,0.779,0.539,0.538,0.472,1
0.719,0.698,0.21,0.454,0.358,0.467,0
0.581,0.337,0.19,0.628,0.562,0.322,0
0.625,0.569,0.508,0.624,0.35,0.491,1
0.581,0.509,0.628,0.399,0.724,0.168,0
0.396,0.424,0.45,0.458,0.261,0.363,1
0.53,0.313,0.632,0.107,0.732,0.554,1
0.9,0.346,0.646,0.63,0.609,0.844,1
0.332,0.105,0.579,0.426,0.702,0.462,0
0.794,0.539,0.342,0.813,0.381,0.659,1
0.539,0.534,0.473,0.329,0.251,0.807,1
0.693,0.582,0.839,0.464,0.629,0.466,1
0.73,0.434,0.45,0.482,0.539,0.287,0
0.645,0.252,0.908,0.238,0.718,0.311,1
0.412,0.586,0.826,0.549,0.507,0.339,1
0.827,0.818,0.618,0.175,0.794,0.398,1
0.704,0.899,0.596,0.66,0.746,0.192,1
0.567,0.364,0.66,0.662,0.782,0.292,0
0.587,0.128,0.53,0.755,0.462,0.426,1
0.352,0.58,0.553,0.351,0.54,0.055,1
0.656,0.341,0.813,0.267,0.098,0.635,1
0.824,0.15,0.343,0.662,0.331,0.973,1
0.281,0.616,0.845,0.132,0.384,0.908,1
0.301,0.51,0.646,0.327,0.594,0.579,1
0.652,0.313,0.899,0.676,0.484,0.18,0
0.31,0.553,0.931,0.637,0.656,0.755,1
0.476,0.379,0.856,0.606,0.687,0.734,1
0.482,0.2,0.814,0.124,0.456,0.635,1
0.325,0.136,0.872,0.402,0.308,0.602,1
0.748,0.461,0.586,0.433,0.201,0.377,1
0.67,0.78,0.899,0.116,0.579,0.525,1
0.597,0.61,0.423,0.25,0.585,0.319,1
0.46,0.864,0.397,0.817,0.535,0.89,0
0.642,0.885,0.729,0.268,0.339,0.189,0
0.091,0.12,0.536,0.521,0.557,0.521,0
0.231,0.025,0.713,0.102,0.831,0.71,1
0.535,0.361,0.886,0.823,0.888,0.639,0
0.49,0.26,0.113,0.377,0.848,0.575,1
0.625,0.791,0.473,0.661,0.488,0.574,1
0.507,0.425,0.976,0.311,0.86,0.446,1
0.356,0.59,0.243,0.259,0.501,0.477,0
0.777,0.702,0.486,0.402,0.818,0.295,1
0.41,0.285,0.721,0.454,0.717,0.453,0
0.416,0.507,0.745,0.891,0.741,0.695,0
0.899,0.523,0.361,0.395,0.365,0.298,1
0.174,0.693,0.831,0.26,0.527,0.387,0
0.43,0.383,0.899,0.587,0.546,0.953,1
0.561,0.549,0.461,0.665,0.344,0.64,0
0.41,0.599,0.86,0.262,0.499,0.802,0
0.342,0.387,0.701,0.836,0.138,0.548,1
0.464,0.528,0.642,0.38,0.63,0.746,1
0.361,0.468,0.515,0.324,0.551,0.66,0
0.735,0.472,0.772,0.396,0.875,0.465,0
0.054,0.811,0.787,0.687,0.566,0.578,0
0.575,0.631,0.354,0.336,0.603,0.644,0
0.404,0.278,0.418,0.448,0.437,0.259,1
0.56,0.161,0.649,0.511,0.315,0.289,1
0.63,0.634,0.567,0.661,0.591,0.668,1
0.26,0.635,0.136,0.401,0.677,0.151,1
0.557,0.917,0.707,0.436,0.771,0.573,1
0.15,0.639,0.462,0.508,0.2,0.44,1
0.201,0.556,0.455,0.728,0.572,0.417,0
0.664,0.699,0.553,0.649,0.741,0.42,1
0.43,0.73,0.297,0.258,0.132,0.288,1
0.806,0.513,0.76,0.149,0.342,0.962,1
0.52,0.59,0.439,0.656,0.114,0.199,1
0.398,0.782,0.558,0.52,0.142,0.016,1
0.456,0.764,0.95,0.448,0.487,0.232,0
0.403,0.303,0.477,0.168,0.304,0.319,1
0.369,0.776,0.465,0.454,0.4,0.311,0
0.233,0.736,0.565,0.646,0.854,0.215,1
0.652,0.68,0.971,0.546,0.397,0.555,1
0.607,0.385,0.77,0.763,0.465,0.347,1
0.765,0.392,0.338,0.792,0.601,0.493,0
0.511,0.501,0.198,0.417,0.222,0.721,1
0.749,0.485,0.928,0.133,0.327,0.672,1
0.415,0.876,0.454,0.374,0.684,0.526,0
0.459,0.092,0.665,0.369,0.613,0.398,1
0.796,0.262,0.667,0.238,0.876,0.388,1
0.7,0.031,0.737,0.413,0.339,0.402,1
0.693,0.516,0.962,0.877,0.187,0.287,0
0.204,0.68,0.346,0.321,0.781,0.618,0
0.563,0.393,0.336,0.543,0.325,0.403,0
0.737,0.598,0.819,0.508,0.343,0.599,0
0.64,0.281,0.627,0.991,0.595,0.414,1
0.687,0.348,0.83,0.347,0.222,0.151,1
0.789,0.192,0.645,0.676,0.539,0.623,1
0.242,0.208,0.785,0.217,0.389,0.41,0
0.396,0.838,0.903,0.392,0.452,0.504,0
0.807,0.659,0.777,0.889,0.741,0.241,0
0.611,0.097,0.728,0.907,0.946,0.435,1
0.087,0.105,0.914,0.694,0.559,0.799,1
0.121,0.555,0.775,0.198,0.675,0.554,1
0.439,0.759,0.886,0.708,0.251,0.176,0
0.569,0.482,0.855,0.209,0.488,0.375,1
0.33,0.912,0.782,0.632,0.078,0.783,0
0.459,0.849,0.508,0.705,0.482,0.51,1
0.29,0.196,0.985,0.853,0.47,0.535,1
0.508,0.148,0.951,0.425,0.55,0.573,0
0.11,0.36,0.785,0.594,0.451,0.724,0
0.662,0.247,0.583,0.506,0.677,0.348,0
0.546,0.858,0.773,0.61,0.92,0.263,1
0.621,0.244,0.726,0.167,0.243,0.203,1
0.123,0.336,0.614,0.527,0.238,0.606,0
0.396,0.669,0.468,0.302,0.232,0.261,0
0.837,0.158,0.561,0.246,0.56,0.078,1
0.45,0.86,0.461,0.796,0.59,0.622,0
0.712,0.91,0.645,0.62,0.399,0.753,0
0.505,0.382,0.517,0.035,0.387,0.281,0
0.33,0.559,0.834,0.567,0.675,0.746,0
0.939,0.153,0.621,0.473,0.752,0.025,1
0.638,0.295,0.202,0.313,0.759,0.375,0
0.873,0.684,0.243,0.69,0.34,0.704,1
0.269,0.337,0.847,0.915,0.261,0.408,1
0.18,0.746,0.198,0.163,0.377,0.63,1
0.646,0.559,0.656,0.612,0.981,0.601,1
0.552,0.245,0.6,0.576,0.461,0.139,1
0.478,0.639,0.309,0.71,0.542,0.504,0
0.662,0.442,0.657,0.812,0.551,0.597,1
0.423,0.804,0.665,0.79,0.656,0.028,0
0.303,0.772,0.855,0.551,0.686,0.644,0
0.258,0.54,0.781,0.603,0.27,0.685,1
0.536,0.593,0.708,0.298,0.549,0.771,1
0.277,0.782,0.411,0.505,0.26,0.642,0
0.788,0.311,0.244,0.625,0.797,0.716,1
0.663,0.698,0.906,0.345,0.832,0.857,1
0.705,0.656,0.414,0.326,0.284,0.293,0
0.814,0.677,0.599,0.466,0.754,0.268,0
0.61,0.206,0.39,0.506,0.685,0.3,1
0.367,0.249,0.929,0.421,0.654,0.438,0
0.222,0.321,0.756,0.347,0.822,0.496,1
0.515,0.948,0.762,0.525,0.514,0.578,1
0.239,0.254,0.62,0.455,0.751,0.148,0
0.286,0.325,0.429,0.283,0.63,0.294,0
0.218,0.376,0.372,0.604,0.171,0.41,0
0.658,0.506,0.341,0.554,0.493,0.255,1
0.398,0.939,0.869,0.315,0.428,0.187,1
0.5,0.458,0.622,0.672,0.515,0.185,1
0.277,0.825,0.737,0.465,0.167,0.772,0
0.353,0.515,0.916,0.851,0.666,0.557,1
0.672,0.616,0.92,0.43,0.314,0.632,0
0.163,0.696,0.279,0.235,0.575,0.905,1
0.667,0.826,0.974,0.415,0.762,0.199,1
0.745,0.085,0.947,0.461,0.599,0.191,1
0.644,0.923,0.749,0.463,0.909,0.447,1
0.307,0.588,0.861,0.173,0.544,0.131,1
0.405,0.239,0.587,0.756,0.648,0.857,1
0.279,0.708,0.186,0.504,0.405,0.821,0
0.421,0.206,0.698,0.624,0.786,0.682,1
0.568,0.959,0.711,0.762,0.382,0.591,0
0.609,0.271,0.222,0.574,0.811,0.269,0
0.587,0.511,0.773,0.867,0.491,0.605,1
0.36,0.465,0.645,0.8,0.734,0.646,1
0.293,0.15,0.861,0.915,0.837,0.328,1
0.781,0.681,0.549,0.344,0.303,0.386,0
0.615,0.272,0.336,0.623,0.448,0.266,1
0.765,0.658,0.821,0.392,0.24,0.143,0
0.67,0.118,0.33,0.728,0.159,0.929,1
0.164,0.482,0.861,0.551,0.624,0.335,1
0.765,0.304,0.982,0.948,0.351,0.349,1
0.453,0.195,0.592,0.358,0.101,0.446,1
0.833,0.511,0.827,0.604,0.307,0.693,0
0.379,0.273,0.878,0.88,0.419,0.766,1
0.981,0.297,0.884,0.688,0.88,0.567,1
0.528,0.602,0.351,0.495,0.54,0.12,0
0.467,0.495,0.889,0.132,0.843,0.933,1
0.694,0.405,0.937,0.162,0.651,0.904,1
0.188,0.472,0.983,0.78,0.386,0.582,1
0.258,0.316,0.73,0.432,0.088,0.164,1
0.648,0.809,0.658,0.538,0.289,0.411,1
0.559,0.306,0.484,0.015,0.373,0.45,1
0.216,0.842,0.183,0.145,0.373,0.865,1
0.815,0.444,0.487,0.338,0.73,0.148,1
0.598,0.822,0.583,0.476,0.612,0.272,0
0.482,0.633,0.939,0.404,0.505,0.673,1
0.201,0.011,0.524,0.579,0.361,0.311,0
0.651,0.139,0.287,0.185,0.753,0.326,0
0.156,0.324,0.543,0.213,0.259,0.618,0
0.683,0.776,0.765,0.347,0.827,0.638,0
0.282,0.322,0.185,0.467,0.463,0.466,0
0.955,0.695,0.48,0.522,0.339,0.64,1
0.375,0.537,0.613,0.693,0.902,0.118,1
0.483,0.211,0.762,0.482,0.132,0.117,1
0.599,0.35,0.848,0.191,0.423,0.751,0
0.344,0.416,0.745,0.696,0.287,0.772,0
0.78,0.481,0.864,0.914,0.696,0.565,1
0.546,0.345,0.787,0.634,0.456,0.52,1
0.107,0.528,0.889,0.626,0.547,0.207,0
0.169,0.384,0.28,0.548,0.52,0.706,1
0.805,0.412,0.739,0.807,0.839,0.829,1
0.43,0.626,0.391,0.702,0.53,0.389,1
0.476,0.32,0.329,0.529,0.109,0.549,1
0.425,0.481,0.442,0.107,0.462,0.75,0
0.334,0.423,0.599,0.57,0.355,0.147,0
0.478,0.458,0.628,0.385,0.413,0.234,1
0.42,0.492,0.616,0.549,0.703,0.838,0
0.933,0.234,0.701,0.678,0.369,0.545,1
0.45,0.517,0.377,0.259,0.437,0.711,0
0.266,0.944,0.841,0.185,0.61,0.523,1
0.596,0.642,0.842,0.525,0.313,0.543,1
0.558,0.417,0.192,0.726,0.79,0.746,1
0.224,0.464,0.948,0.287,0.607,0.676,1
0.683,0.739,0.36,0.707,0.758,0.256,0
0.398,0.818,0.353,0.342,0.452,0.329,1
0.229,0.093,0.89,0.487,0.689,0.555,1
0.523,0.169,0.912,0.236,0.592,0.217,0
0.461,0.584,0.467,0.393,0.778,0.932,0
0.064,0.214,0.798,0.746,0.375,0.538,1
